header,rating,content_text
Peru,Overall rating,Insufficient,"The CAT rates Peru’s climate targets and policies as “Insufficient”. The “Insufficient” rating indicates that Peru’s climate policies and commitments need substantial improvements to be consistent with the Paris Agreement’s 1.5°C temperature limit. Peru’s 2030 emission reduction targets would lead to a 3°C of warming when compared to modelled domestic emissions pathways and its fair share contribution to climate action. If fully implemented, Peru’s current policies would result in emissions reductions beyond its unconditional target, but still only in line with —and not well below—2°C based on Peru’s fair share."
Peru,Policies and action  against fair share,Almost Sufficient,"Our analysis shows that Peru could achieve its unconditional NDC target with its current policies, without the need for additional, more ambitious policies. Peru’s current policies are “Almost sufficient” when compared to its fair-share contribution. The “Almost sufficient” rating indicates that Peru’s climate policies and action in 2030 are not yet consistent with the 1.5°C temperature limit but could be, with moderate improvements. If all countries were to follow Peru’s approach, warming could be held at—but not well below—2°C. Peru is expected to implement additional policies with its own resources but will also need international support to take additional climate action beyond its fair share. Peru’s emissions, excluding LULUCF, have almost doubled, from about 54 MtCO 2 e in 1990 to 102 MtCO 2 e in 2021. We estimate that emissions under current policies will reach 116 MtCO 2 e, excl. LULUCF, by 2030 (116% above 1990 levels). In the energy sector, the share of renewable energy in electricity generation and total primary energy supply continues to increase, despite further investments in fossil fuels. In July 2022, the government approved the license contract for Peru's most important oil extraction asset . This same year, Peru agreed to the implementation of the country’s first green hydrogen project , with a pilot phase producing up to 55 tonnes of hydrogen per day and requiring 160 MW of renewable capacity. In the forestry sector, the National Forest Programme reported that 2020 saw the highest deforestation rate in the last two decades. The full policies and action analysis can be found here ."
Peru,Conditional NDC target against modelled domestic pathways,Insufficient,"We rate Peru’s conditional NDC target as “Insufficient” when compared with modelled domestic emissions pathways. The “Insufficient” rating indicates that Peru’s conditional NDC target in 2030 needs substantial improvements to be consistent with the 1.5°C temperature limit. If all countries were to follow Peru’s approach, warming would reach over 2°C and up to 3°C."
Peru,Unconditional NDC target against fair share,Insufficient,"We rate Peru’s unconditional NDC target as “Insufficient” when compared with its fair-share contribution to climate action. The “Insufficient” rating indicates that Peru’s unconditional NDC target in 2030 needs substantial improvements to be consistent with the 1.5°C temperature limit. Peru’s target is at the least stringent end of what would be a fair share of global effort, and is not consistent with the 1.5°C temperature limit, unless other countries make much deeper reductions and comparably greater effort. If all countries were to follow Peru’s approach, warming would reach over 2°C and up to 3°C."
Peru,Land use & forestry,Source,"The land use, land-use change and forestry sector has consistently been a significant source of emissions in Peru over the last 20 years. For those years where data is available, emissions from LULUCF are higher or at a similar level as those from all other sectors together."
Peru,Net zero target,Information incomplete,"Peru’s updated NDC makes reference to a goal of reaching carbon neutrality by 2050. However, no further details have been communicated so far, which limits our ability to assess the comprehensiveness of the target. The CAT evaluates this target as: “Target information incomplete”, given its preliminary nature and a lack of more detailed information. The assessment will be done once further information is communicated by the government."
Norway,Overview,no rating,"In its latest NDC updated in November 2022, Norway slightly strengthened its 2030 emissions target to a reduction of at least 55% below 1990 levels, which we rate as “1.5°C global least cost” compared against modelled domestic pathways as being the minimum level of mitigation Norway should achieve within its borders. Considerably stronger policies will be needed to meet this target. A significant boost to committed climate finance for developing nations is a welcome outcome, but Norway’s climate finance is still “Insufficient"". There is also much still to do domestically to ensure Norway is aligned with the Paris Agreement’s 1.5°C temperature goal. Current policies and action are rated as “Almost sufficient”, while its NDC target against fair share and net zero targets are rated as still “Insufficient. The exported emissions from Norwegian oil and gas are not considered in the CAT’s overall “Almost sufficient” rating. Norway continues to support an expansion of oil and gas exploration in its already large fossil fuel sector. Norway’s exported fossil fuels are a large source of global emissions when their eventual combustion is taken into account. The government is seeking to throw out a case currently before the European Court of Human Rights (ECHR) that charges that approval of new permits to drill for oil and gas would constitute a breach of fundamental human rights. Norway leads the world on electric vehicle (EV) adoption thanks to a long track record of government support and regulation. It is on track to achieve its 2025 phase out of fossil fuel vehicle sales well ahead of schedule, with the market sales share of zero emission vehicles and plug-in hybrid vehicles combined reaching 86% in February 2022 , and on track to reach 100% by the end of 2022. Reducing Norwegian transport sector emissions is a top priority given the power sector is already mostly decarbonised. This also means the electrification of transport in Norway leads to a disproportionately large reduction in emissions relative to other countries that burn fossil fuel to generate electricity."
Norway,Overall rating,Almost Sufficient,"The CAT rates Norway’s climate targets, policies and finance as “Almost sufficient” . The “Almost sufficient” rating indicates that some elements of Norway’s efforts are world leading, like its updated 2030 emissions reduction target, but its climate policies and commitments need substantial improvements to be consistent with the Paris Agreement’s 1.5°C temperature limit. Norway’s updated at least 55% NDC reduction target aligns with least cost modelled domestic pathways which limit warming to 1.5°C. To achieve its updated NDC target, Norway will need to enhance its current policies which are currently “Almost sufficient” and in line with 2°C warming. We also rate Norway’s NDC target as “Insufficient” when compared with its fair share contribution to climate action. Norway should provide additional, predictable, finance to developing countries to meet its fair share contribution. Norway’s rating does not consider exported emissions from its large oil and gas production sector."
Norway,Policies and action against modelled domestic pathways,Almost Sufficient,"The CAT rates Norway’s policies and action as “Almost sufficient”. The “Almost sufficient” rating indicates that Norway’s climate policies and action in 2030 are not yet consistent with limiting warming to 1.5°C but could be, with moderate improvements. If all countries were to follow Norway’s approach, warming could be held at—but not well below—2°C. Current policies are projected to lead to emission levels of 41MtCO 2 e by 2030, which is 21% below emissions in 1990. Norway will need to adopt further policies in order to meet its recently strengthened NDC target. Norway’s electricity generation is almost exclusively renewable: in 2020, 90% of electricity was generated by hydro power plants and 2.6% from wind farms. Less than 2% of generation was from thermal power plants, mostly in industrial heat processes. As a result of its prominent hydropower supply, Norway can play a key role in balancing the electricity grids of neighbouring countries, depending on the weather in a given year. Norway is home to the biggest hydrocarbon reserves in Europe, making it the world’s fifth largest exporter of crude oil, and its offshore drilling activities have been subject to a carbon tax since 1991. In 1999, the carbon tax was increased, and in 2005 Norway joined the EU ETS. By 2018, around 80% of greenhouse gas emissions were taxed, with the highest tax charged on domestic aviation and mineral oil. Through higher taxes, investments in carbon capture and storage (CCS) have been viable since 1996, after which nearly 1 MtCO 2 e a year has been captured from the Sleipner Vest oilfield. In January 2021, the Norwegian government announced plans to gradually raise its carbon tax until it reaches NOK 2,000 (USD 220) by 2030. Despite Norway successfully utilising this technology on a number of its oilfields, it remains prohibitively expensive and has rarely been deployed successfully elsewhere, with the future of this technology remaining uncertain. Despite Norway’s relatively high carbon tax, its oil and gas sector continues to be a large emissions source, making up over a quarter of total emissions in 2020. The vast majority of emissions resulting from this sector are from combustion abroad. While this enormous source of emissions is not counted under Norway’s emissions inventory, it far outweighs total domestic emissions and represents a blight on Norway’s climate record. The current government has refused to consider a phase-out of this sector, confirming its commitment to allowing an expansion of drilling and exploration in the Barents Sea, though this decision is currently being challenged in the European Court of Human Rights. While the decarbonisation of Norway’s transport system is one of the three main goals of its National Transport Plan 2022–2033, almost half of the NOK 1,200 billion (USD 132bn) allocated to measures covering the period of the plan still flowed into the construction and improvement of roads and highways. Relatively high road infrastructure investments like this are, to an extent, a byproduct of Norway’s low population density. However, there is a stated commitment to increase government spending on key public transport projects in the four largest urban areas and reduce ticket prices in the main cities. In 2021, battery electric vehicles (BEV) sales alone reached a 65% market share, equal to 110,000 vehicles. BEVs and plug-in hybrid electric vehicles (PHEVs) combined reached an 86% share of new sales, far ahead of any other country in the world, and on track to reach 100% by the end of 2022. The increasing share of electric cars in new sales has also had an impact on the overall share of zero emissions vehicles: by the end of 2020, 16% of Norway’s car fleet was fully battery electric, with a further 6% PHEVs. During the COVID-19 pandemic, Norway amended its Petroleum Taxation Act to temporarily allow oil and gas companies to deduct investments from the tax base. Companies were also able claim the tax value of losses incurred in 2020 and 2021 from the state. The full policy and action analysis is available here ."
Norway,NDC target against modelled domestic pathways,1.5°C global least cost,"In November 2022, Norway formally updated its NDC, committing to strengthening its 2030 NDC target to at least a 55% reduction below 1990 levels. We rate this strengthened target as compatible with modelled domestic pathways limiting warming to 1.5°C on a globally cost-effective basis."
Nigeria,Overview,no rating,"Messages around climate change and the energy transition by Nigeria’s executive branch remain ambiguous with a strong focus on continuing oil and gas development after the election of President Bola Tinubu in February 2023. Similar to his predecessor, President Tinubu has given mixed messages on energy priorities. While he has acknowledged the need to reduce reliance on the oil and gas sector and develop solar power, he has also expressed support for increased oil and gas production for domestic consumption and export. Whilst Nigeria’s policies and targets represent a fair contribution to limiting global warming with its own resources, to actually reduce emissions to a level consistent with 1.5ºC it needs to decarbonise its economy and will require international support to do so. Overall, the CAT rates Nigeria’s climate targets and policies as “Almost sufficient”. The Energy Transition Plan (ETP) to achieve net zero by 2060, considered in our planned policies scenario, requires significant international support. The government aimed to secure an initial USD 10 billion support package ahead of COP27 to kickstart implementation, but has not secured financing as of May 2023. Nigeria has adopted new measures and announced plans to reduce emissions: In January 2023, Nigeria adopted new Methane Guidelines that include mandatory measures for oil and gas companies, such as leak detection, to reduce methane emissions from the oil and gas sector. Under the 2021 Climate Change Act, the government is required to develop a carbon tax and carbon trading. In February 2023, the Director General of the National Council on Climate Change announced plans to unveil a carbon tax policy. While these are positive developments, the government’s continued reliance on oil and gas risk locking Nigeria into emissions-intensive infrastructure. This will likely lead to the major stranding of assets and misallocation of investment resources and continue to drive up national emissions. To meet its net zero ambitions, Nigeria could: Pursue a more rapid uptake of renewable energy , rather than the delayed approach put forward in the Energy Transition Plan that relies on rapid expansion of gas in the near-term. Move ahead with implementing the Climate Change Act and clarify elements of the net zero target , such as emissions coverage and the role of carbon removals. Avoid locking in to high-emission fossil gas infrastructure projects , such as the Nigeria-Morocco gas pipeline and additional LNG export capacity. With uncertainty in long-term fossil gas demand, these investments are at risk of becoming stranded assets. According to the IEA, no new oil or gas field development is needed to reach net zero emissions (NZE) in 2050. The IEA’s 2022 update of its NZE scenario indicates that African oil and gas production needs to decline by 41% and 13% below 2021 levels by 2030 respectively, and 82% for oil and 78% for gas by 2050. In other words, expanding the availability of oil or gas in Nigeria or anywhere else in the world is inconsistent with limiting warming to 1.5ºC and achieving net zero emissions by 2050."
Nigeria,Overall rating,Almost Sufficient,"The CAT rates Nigeria’s climate targets and policies as “Almost sufficient”. The “Almost sufficient” rating indicates that Nigeria’s climate commitments are not yet consistent with the Paris Agreement’s 1.5°C temperature limit but could be with moderate improvements. Nigeria’s unconditional target meets its fair share contribution to limit warming to 1.5°C; however, its conditional target is consistent with 2°C of warming when compared to the level of climate action needed within the country. While Nigeria’s policies and action are 1.5°C compatible when compared to its fair share contribution, they are not on track when compared to the level of climate action needed within the country to meet that warming limit. Nigeria needs additional support to implement additional policies and to strengthen and meet its conditional target. Our ratings are based on a historical emissions time series constructed using government data for consistency with government planning and dialogue, but it's important to note that government-reported emissions are significantly lower than international sources, largely due to the differences in estimates for energy sector emissions. Our ratings may change in the future if there is a significant revision to emissions data."
Nigeria,Policies and action  against fair share,1.5°C compatible,"The CAT estimates that Nigeria’s greenhouse gas emissions would reach 34-43% above 2010 levels excluding LULUCF in 2030 under current policies and including the impact of COVID-19. In August 2022, Nigeria released its Energy Transition Plan (ETP), put forward as the key strategy to achieving its 2060 net zero target; however, the plan relies on significant action after 2030. Former President Buhari has declared the period to 2030 the “Decade of Gas”. As Nigeria is currently seeking international support to kick-start implementation of the ETP, we have included it in our planned policies scenario rather than in our current policies scenario. Nigeria’s current policies are rated 1.5˚C compatible when compared to its fair share contribution from its own resources. The “1.5˚C compatible” rating indicates that Nigeria’s climate policies and action are consistent with limiting warming to 1.5°C. While Nigeria’s policies and action are consistent with a fair contribution to climate action, they do not put Nigeria on track to meet either of its targets. These policies are also inconsistent with the level of emissions cuts needed to limit warming to 1.5°C. Implementation of the ETP, reflected in our planned policies scenario, would put Nigeria on track to meets its unconditional target, but not its conditional target. Nigeria will need to implement additional policies with its own resources to meet its unconditional target, but will also need international support to implement policies in line with full decarbonisation to meet and exceed its conditional target. Key steps to reducing the gap between current policies and Nigeria’s NDC targets include progressing towards and ramping up its renewable energy target and halting the expansion of natural gas."
Nigeria,Conditional NDC target against modelled domestic pathways,Almost Sufficient,"In its 2021 NDC update, Nigeria committed to reducing emissions by 47% below BAU by 2030, conditional on international support. This is equivalent to an emissions level 1% above to 23% below 2010 levels by 2030 excluding LULUCF. While this is a strong conditional target, Nigeria will need to strengthen its policies to make sure it has the enabling conditions in place to meet the target, in addition to receiving international support. The CAT rates Nigeria’s 2030 conditional target as “Almost sufficient,” a rating that indicates that Nigeria’s conditional NDC target in 2030 is not yet consistent with limiting warming to 1.5°C but could be, with moderate improvements. If all countries were to follow Nigeria’s approach, warming could be held below—but not well below—2°C. Nigeria’s conditional target spans the CAT’s ""Almost sufficient"" and 1.5°C compatible ratings. The large target range is due to uncertainty around the extent to which Nigeria plans to rely on the land sector in meeting its target. Further clarity from Nigeria on this may result in a 1.5°C compatible target."
Nigeria,Unconditional NDC target against fair share,1.5°C compatible,"In its 2021 NDC update, Nigeria recommitted to unconditionally reducing emissions 20% below BAU by 2030. This is equivalent to an emissions level of 17-27% above 2010 levels (excl. LULUCF) by 2030. The CAT rates Nigeria’s 2030 unconditional target as 1.5°C compatible. The “1.5°C compatible” rating indicates that Nigeria’s unconditional NDC target is consistent with limiting warming to 1.5°C. Nigeria’s unconditional NDC target does not require other countries to make comparably deeper reductions or greater effort, and is in the most stringent part of its fair share range. The fair share literature for Nigeria is sparse and some equity categories have few data points. As a result, the upper bound of Nigeria’s fair share range is dominated by a handful of studies. This high range is not reflective of the majority of the literature, which indicates more stringent emission reductions. Future equity studies may help to improve the fair share analysis for Nigeria."
Nigeria,Net zero target,Average,"In November 2021, Nigeria passed the Climate Change Act that seeks to achieve low greenhouse gas emissions, green and sustainable growth by providing the framework to set a target to reach net zero between 2050 and 2070. At COP26, former President Buhari further committed to net zero emissions by 2060, which would be in line with the Climate Change Act. Nigeria’s Energy Transition Plan, released August 2022, was developed to serve as the pathway towards achieving the 2060 net zero target. As the Act only sets the framework for adopting a net zero GHG target between 2050 and 2070, the final net zero target could improve on several elements. In particular, the target should clarify emissions coverage and the role of carbon removals in achieving the target. We evaluate the target design as “Average”. The full net zero target analysis can be found here ."
New Zealand,Overview,no rating,"NOTE: No updates were made to the quantitative assessment from November 2022. In May 2022, New Zealand released its first emissions reduction plan, outlining a series of policies and incentives to decarbonise all sectors. Within it, New Zealand has published three multi-year emissions budgets which are marginally lower than the Climate Change Commission’s proposed budgets. However, it remains unclear how the Government will ensure the emissions trading scheme (NZ-ETS), a key tool for meeting its climate target, is fit to prioritise gross emissions (excluding LULUCF) reductions without significant policy enhancement. Agricultural methane emissions, representing over 40% of New Zealand’s total emissions, remain exempt from the NZ-ETS, and while a new proposal to reduce emissions from agriculture has now been tabled, it has yet to be adopted or fully endorsed, but even then it is unlikely to have a significant impact. New Zealand submitted an updated NDC in November 2021, increasing its emissions reduction target from 30% to 50% below gross 2005 levels by 2030, including LULUCF. While the updated NDC target purportedly strengthens the 2030 target by 20 percentage points, it was based on two misleading accounting methods that more than halve its effective reduction in net emissions (including LULUCF emissions) to only 22% below 2005 levels by 2030. To remain 1.5˚C compatible, New Zealand needs to set a 2030 target of a reduction in gross emissions of at least 44%. While the strengthened target shifts the rating of the target against modelled pathways and fair share, it does not change the overall CAT rating of “Highly Insufficient”. To its credit New Zealand has a target of net zero emissions by 2050 enshrined in law, under the Zero Carbon Act, but its short-term policies cannot yet keep up with this ambition. It is relying on the mitigation potential of offsets in the land use and forestry sector both within and outside its borders to meet its 2030 target, rather than focusing efforts on reducing emissions from high emitting sectors. However, a recent court verdict has freed the government from its legal obligation of keeping its emissions budget (which is part of the Zero Carbon Act) compatible with the 1.5˚C temperature limit, stating the 1.5˚C limit is only “aspirational”, highlighting the inadequacy of the climate law. The New Zealand government plans to purchase emissions credits to achieve its 2030 NDC target using international offsets, in anticipation of an emissions overshoot. This would amount to New Zealand having to purchase international offsets amounting to around 75–102 MtCO 2 e over time given the NDC’s emissions budget is 571 MtCO 2 e, which would set an alarming precedent for significant offset purchasing to meet an NDC. New Zealand is set to meet by far the highest proportion of its target (two thirds of the action required) through buying international offsets compared with any other OECD country. These purchases would be linked to the NZ-ETS, to ensure that credits auctioned by Government are backed by reductions in emissions overseas. However this exposes New Zealand to highly volatile prices in EU-ETS markets as well as increasing concerns about the quality of international offsets, given the high uncertainties around the verification, permanence and principles of additionality. Methane from agriculture and waste has a separate target (a reduction of 10% by 2030 and 24-47% by 2050 below 2017 levels are required), that is not yet covered by significant policies. Overall, the CAT rates New Zealand’s current climate targets, policies and finance as “Highly insufficient”. The government also needs to revisit its target architecture and drop the much discredited “gross-net” approach to target setting. New Zealand is one of only a few countries in the world using this “gross net” accounting system to calculate its 2030 target."
New Zealand,Overall rating,Highly insufficient,"The CAT rates New Zealand’s climate targets, policies and finance as “Highly insufficient”. The “Highly insufficient” rating indicates that New Zealand’s climate policies and commitments are not stringent enough to limit warming to 1.5°C and need substantial improvements. New Zealand’s NDC target is rated “Critically insufficient” when compared with its fair share contribution to climate action and “Insufficient” when compared to modelled domestic pathways. Its policies and action do not put in on track to meet this target and its climate finance is inadequate. New Zealand should increase both its emissions reduction target and climate policies, and provide additional, predictable, finance to others to meet its fair share contribution."
New Zealand,Policies and action against modelled domestic pathways,Highly insufficient,"Zealand’s current policies are “Highly insufficient” when compared to modelled domestic pathways. The “Highly insufficient” rating indicates that New Zealand’s policies and action in 2030 are not at all consistent with limiting warming to 1.5°C. If all countries were to follow New Zealand’s approach, warming could reach over 3°C and up to 4°C. In May 2022, the Government published the first of three staggered, multi-year emissions reduction budgets to curb its carbon dioxide emissions by around 35% by 2035, thus adopting its first emissions reduction plan (ERP) to 2050. The new multi-budget approach sets out the total emissions New Zealand must cut over the next 14 years, through domestic activities, capping the amount of CO 2 gases to 290 MtCO 2 e over three years. The scheme provides $2.9 billion of first year funding to the Climate Emergency Fund, as announced in the Budget 2022. The Emissions Trading Scheme, however, continues to exempt the country’s largest contributor to greenhouse gas emissions – the agriculture sector – from a price on its methane emissions until 2025, despite original promises that it would cover all sectors. Agricultural methane emission reductions are now being discussed under a proposal released in June 2022. The scheme relies strongly on industry partnerships and trust, with results yet to be seen. Other climate policy highlights include the renewable electricity target of 90% by 2025 and 100% by 2035. A target of 50% renewables for total final energy consumption by 2035 is also announced as part of a goal to have a national Energy Strategy in place by 2024. The Government has an electric vehicle target for government fleet vehicles to be carbon neutral by 2025/26 and has introduced the country’s first-ever CO 2 emissions standard for imported cars in 2021. The government is developing a hydrogen roadmap, based on a vision paper that is in support of opportunities for domestic use and the export of green hydrogen. For more detail, see the policies and action section here ."
New Zealand,NDC target against modelled domestic pathways,Almost Sufficient,"New Zealand’s NDC target in 2030 is not consistent with the Paris Agreement’s 1.5°C temperature limit when compared to modelled domestic pathways. The target aims for GHG emissions to be 50% below 2005 levels by 2030 (including LULUCF). The new target equates to around 51 MtCO 2 e/yr by 2030 excluding LULUCF. This is equivalent to 21% below 1990 levels by 2030. New Zealand needs to bring down its emissions level to 47 MtCO 2 e/yr for a 1.5°C modelled domestic pathway. We rate this target as “Almost sufficient”, moving up from previous rating of “Insufficient”. This rating indicates that New Zealand’s emissions in 2030 are not yet consistent with limiting warming to 1.5°C but could be, with moderate improvements. If all countries were to follow a similar approach, warming could be held below—but not well below—2°C."
Nepal,Overview,no rating,"Since our last update in 2021, Nepal has released its Long-Term Strategy, an important step in enhancing its strategy to achieve carbon neutrality, after releasing its second NDC in 2020. Under a scenario in its LTS, if borne out, Nepal intends to reach carbon neutrality by as soon as 2045, if its carbon sink is included. The CAT’s rating of Nepal’s climate targets and action remains “Almost sufficient”. In its latest NDC, Nepal has set an activity-based target for both its unconditional and conditional targets. However, given it has no absolute emissions reduction in the unconditional target, the CAT instead uses Nepal’s current policy projections as its unconditional target and rates this as “1.5°C compatible” compared to Nepal’s fair share. The CAT estimates Nepal’s conditional target as 59–64 MtCO 2 e in 2030, which Nepal will achieve easily with current policies. We rate this as “Critically Insufficient” compared to its modelled domestic pathway. As a least developed country, Nepal would need significant international support to increase its climate ambition and implement more stringent policies to enable deep decarbonisation aligned with a global least cost 1.5°C compatible domestic emissions pathway. Nepal needs to enhance the ambition of its NDC targets beyond the level of current policies to drive real world emission reductions and expand its LTS beyond CO 2 emissions, since around 54% of national emissions are from methane, mostly from the agriculture sector. Nepal’s electricity generation comes from 100% renewable energy sources since 2015. The government plans to expand more of hydroelectricity and all types of renewable energy. For instance, in 2023, the Nepal Electricity Authority (NEA) signed power purchase agreements (PPAs) for 1.5 GW of run-of-the-river hydropower projects, and these are expected to continue until they reach a cumulative 6.75 GW by 2028. Nepal additionally supplies its neighboring countries with renewable energy, reducing their carbon intensity. Nepal has pushed forward with rolling out electric vehicle (EV) policies in 2022. There are several fiscal incentives i.e. for EV purchase and road tax exemption. EV imports have greatly increased and a considerable number of charging stations have been installed. Through its NDC, the government of Nepal aims to phase out petrol-diesel vehicles with EVs by 2031. In its new budget (FY 2022-2023), the government plans to install 500 charging stations throughout the country, although currently only around 50 are operational. Nepal government also announced a renewal and tax waiver for EVs for the next five years."
Nepal,Overall rating,Almost Sufficient,"The CAT rates Nepal’s climate targets and action as “Almost sufficient”. The “Almost sufficient” rating indicates that Nepal’s climate policies and commitments are not yet consistent with the Paris Agreement’s 1.5°C temperature limit but could be with moderate improvements. While Nepal’s updated NDC is a step in the right direction, Nepal needs to strengthen its conditional target further, with international support."
Nepal,Policies and action  against fair share,1.5°C compatible,"Nepal’s current policies and action are 1.5°C compatible when compared to its fair share contribution. The “1.5°C compatible” rating indicates that Nepal’s climate policies and action are consistent with limiting warming to 1.5°C. Nepal’s climate policies and action. Emissions have continued to grow in Nepal, going from about 35-49 MtCO 2 e between 2010 and 2020, based on CAT calculation from historical emissions data. While the government is showing some progress in the implementation of its mitigation policies, under current policies, emissions are expected to increase by about 10% above current levels by 2030. Current policies and actions are not sufficient to meet the lower end of Nepal’s updated conditional target, nor are they where Nepal needs to be when compared with modelled domestic pathways. Nepal needs to implement more stringent policies, for which it will need international support. The full policies and action analysis can be found here"
Nepal,Conditional NDC target against modelled domestic pathways,Critically insufficient,"Nepal's current ""Critically insufficient"" rating indicates that its conditional 2030 target reflects minimal to no action and is not at all consistent with limiting warming to 1.5°C, when compared to modelled domestic pathways. If all countries were to follow Nepal’s approach, warming would exceed 4°C. We haven't included all sectoral measures in our assessment of Nepal’s conditional target because the NDC provided limited details on some of the sectoral target, so it was not possible to estimate the impact of all of them. Nepal is encouraged to provide further information on the quantification of its NDC and to improve this target with international support."
Nepal,Unconditional NDC target against fair share,1.5°C compatible,"Nepal’s unconditional target is “1.5°C compatible”. The “1.5°C compatible” rating indicates that Nepal’s fair share target is consistent with limiting warming to 1.5°C. Nepal’s latest NDC doesn’t provide clear quantification of the unconditional target, hence the CAT has rated it against emissions under current policies and action."
Nepal,Land use & forestry,Source & Sink,"In Nepal, land use and forests served as carbon sink from 1997–2015 and was a carbon source from 2016–2021. The CAT estimated that LULUCF emissions were about 14 MtCO 2 e/yr in 2021. Nepal would need significant international support to achieve carbon neutrality by 2045, as Nepal relies highly on a LULUCF carbon sink in their carbon neutrality scenario. In addition, Nepal aims to maintain 45% forest cover (including other wooded land limited to less than 4%) by 2030. As of its enhanced NDC 2020, the forest coverage percentage in 2020 has reached approximately 44.7%."
Nepal,Net zero target,Average,"Nepal announced a 2045 net zero carbon emissions target at COP26. In 2021, Nepal released its Long-term Strategy, aimed at reaching carbon neutrality by 2045 or sooner and negative carbon emissions by 2050. We evaluate the target as ""Average""."
Morocco,Overview,no rating,"Morocco has taken several positive steps on climate action, including a substantially enhanced NDC in 2021. However, it remains heavily dependent on coal, and the government has announced plans to expand fossil gas infrastructure. It needs to commit to a coal phase out if it hopes to achieve the conditional NDC target but would need international support to do so. Considering the climate policies put in place by the government, we estimate Morocco’s emissions will flatten until 2030, which would enable the country to meet its unconditional NDC target. With this update, the CAT continues to rate Morocco’s climate targets and actions as “Almost sufficient”. Morocco has not yet submitted a new NDC despite all countries having been invited to do so before COP27. However, its latest, 2021 NDC update significantly strengthened both its conditional and unconditional emissions reduction targets. The CAT estimates that Morocco’s updated NDC would lead to 84 and 118 MtCO2e (excluding LULUCF) in 2030 under its conditional and unconditional targets respectively, down from 107 and 145 MtCO2e under its original NDC. Morocco is on track to meeting its unconditional NDC target, but it needs additional support and measures to meet its conditional NDC. Positive recent climate developments in Morocco include: A commitment to halt the development of new coal-fired power plants at COP26 The ramping up of decarbonisation efforts in key sectors of the Moroccan economy, with new policies planned for the phosphate industry and the agricultural sector The release of the National Energy Efficiency Strategy , which seeks to reduce energy consumption in key sectors of the Moroccan economy, including a 24% energy consumption reduction in the transport sector To continue improving its climate action, Morocco could: Commit to a rapid coal phase-out from the power mix, with support from the international community Strengthen its renewable energy targets to ensure that they are in line with the 1.5°C limit of the Paris Agreement Stop investing in coal and fossil gas The government’s renewable energy targets remain the core of the country’s decarbonisation efforts. Morocco currently aims to increase renewable energy capacity to 52% of its electricity mix by 2030. The country pioneered renewable energy developments in the 2010’s, but the pace has recently slowed down, with solar capacity additions stalling in 2019 and 2020. Considering that renewable energy amounted to 30% of electricity capacity in 2020, Morocco will need to considerably increase the roll out of renewable projects to meet its 2030 target. Morocco’s electricity mix remains heavily dominated by coal, with lifetime extensions recently planned for key coal-fired plants. At COP26, Morocco agreed to cease permit issuance and construction of new plants but has not committed to a coal phase-out. On top of that, the government has recently unveiled plans to expand fossil gas infrastructure. In 2022, Algeria recently halted gas supply via the Maghreb-Europe pipeline, which previously accounted for all of Morocco’s gas imports. As a result, Morocco is now building LNG terminals to accommodate imports via Spain. Morocco has also opened its doors to offshore gas exploration. These developments pose a significant threat to Morocco’s decarbonisation plans and risk locking the country into a high-emissions pathway. International support will therefore be key to help Morocco make the best of its vast renewable energy potential and ditch fossil gas and coal once and for all."
Morocco,Overall rating,Almost Sufficient,"The CAT rates Morocco’s climate targets and policies as “Almost sufficient”. The “Almost sufficient” rating indicates that Morocco’s climate policies and commitments are not yet consistent with the Paris Agreement’s 1.5°C temperature limit but could be with moderate improvements. Morocco’s policies and unconditional target meet its fair-share contribution to limiting warming to 1.5°C. Morocco’s conditional target, to be achieved with international support, is almost, but not yet compatible with 1.5°C of warming and needs to be strengthened. Morocco would need international support to implement additional policies and go slightly beyond its current conditional target."
Morocco,Policies and action  against fair share,1.5°C compatible,"We rate Morocco’s policies and actions as “1.5°C compatible” compared to its fair share contribution. The “1.5°C compatible” rating indicates that Morocco’s climate policies and action are consistent with limiting warming to 1.5°C. Morocco’s climate policies and action do not require other countries to make comparably deeper reductions. When compared to modelled domestic pathways, the policies and action are not yet sufficient for getting on a decarbonisation pathway. Morocco should embark on such a pathway—with international support. Morocco has put forward a detailed list of measures it will deploy to reach its updated NDC target issued in June 2021, separated into conditional and unconditional measures, with many of them already under implementation. While there is some evidence of implementation underway, particularly for renewable energy projects, there is overall limited information available to assess progress. However, recent developments could jeopardise long-term decarbonisation and lead to either a lock-in of emissions or stranded assets. The Moroccan government recently unveiled plans to expand gas infrastructure and has opened its doors to offshore gas exploration. On top of that, Morocco still relies heavily on coal. In 2021, 82% of Morocco’s electricity mix was made up of non-renewable sources, a majority of which is derived coal (IRENA, 2022a). Our range of emissions under current policies does not include the expansion of fossil gas infrastructure which would shift emissions up, and Morocco could potentially lose the “1.5°C compatible” rating for its policies and actions. The full policies and action analysis can be found here ."
Morocco,Conditional NDC target against modelled domestic pathways,Almost Sufficient,"We rate Morocco’s conditional NDC target as “Almost Sufficient” when compared with modelled domestic emissions pathways. The “Almost Sufficient” rating indicates that Morocco’s internationally supported target in 2030 is not yet consistent with the 1.5°C temperature limit but could be, with moderate improvements. If all countries were to follow Morocco’s approach, warming could be held below—but not well below—2°C."
